Formation;Epoch;Stage;Midpoint;Archosauromorph_gen;Dinosaur_gen;Synapsid_gen;Parareptile_gen;Temnospondyl_gen;Other_gen;Total_gen;Archosauromorph_spec;Dinosaur_spec;Synapsid_spec;Parareptile_spec;Temnospondyl_spec;Other_spec;Total_spec
Lystrosaurus AZ;Triassic (Early);Induan ;251,1;4;0;20;9;8;17;41;35;0;2711;606;124;730;3476
Fremouw lower;Triassic (Early);Induan;251,1;1;0;7;2;1;3;11;17;0;93;12;9;21;131
Panchet;Triassic (Early);Induan;251,1;1;0;26;0;5;5;32;4;0;3;0;12;12;19
Kopanskaya;Triassic (Early);Induan;251,1;3;0;0;2;3;5;8;5;0;0;2;60;62;67
Staritskaya;Triassic (Early);Olenekian (l);249,7;4;0;0;2;6;8;12;13;0;0;2;49;51;64
Kzylsaiskaya;Triassic (Early);Olenekian (l);249,7;3;0;0;2;8;10;13;6;0;0;2;42;44;50
Cynognathus AZ (A zone);Triassic (Early);Olenekian (u);247,8;1;0;4;1;4;5;10;37;0;19;6;50;56;112
Gostevskaya;Triassic (Early);Olenekian (u);247,8;2;0;0;0;4;4;6;3;0;0;0;11;11;14
Petropavlovskaya;Triassic (Early);Olenekian (u);247,8;3;0;2;2;9;11;16;14;0;2;3;25;28;44
Cynognathus AZ (B zone);Triassic (Middle);Anisian (l);245,7;4;0;10;5;7;12;26;78;0;508;13;48;61;647
Moenkopi (Holbrook member);Triassic (Middle);Anisian (l);245,7;4;0;1;0;4;4;9;17;0;1;0;42;42;60
Cynognathus AZ (C zone);Triassic (Middle);Anisian (u);242,9;0;0;6;0;1;1;7;0;0;11;0;3;3;14
Manda;Triassic (Middle);Anisian (u);242,9;6;1;6;0;1;1;13;63;2;34;0;4;4;101
Yerrapalli;Triassic (Middle);Anisian (u);242,9;3;0;3;0;1;1;7;10;0;33;0;1;1;44
Donguz;Triassic (Middle);Anisian (u);242,9;6;0;11;1;5;6;23;11;0;16;1;19;20;47
Chañares;Triassic (Middle);Ladinian (l);240,4;11;0;20;0;0;0;31;55;0;107;0;0;0;162
Lettenkeuper;Triassic (Middle);Ladinian (u);238,1;3;0;1;0;9;9;13;15;0;1;0;155;155;171
Bukobay;Triassic (Middle);Ladinian (u);238,1;4;0;2;0;7;7;13;7;0;2;0;8;8;17
Santa Maria lower;Triassic (Middle);Ladinian (u) - Carnian (l);236,4;6;0;11;1;0;1;18;22;0;63;3;0;3;88
