"Dilution","Content",".copy","Sample","T.0","T.10","T.20","T.30","T.40","T.50","T.60","T.70","T.80","T.90","T.100","T.110","T.120","T.130","T.140","T.150","T.160","T.170","T.180","T.190","T.200","T.210","T.220","T.230","T.240","T.250","T.260","T.270","T.280","T.290","T.300","T.310","T.320","T.330","T.340","T.350","T.360","T.370","T.380","T.390","T.400","T.410","T.420","T.430","T.440","T.450","T.460","T.470","T.480","T.490","T.500","T.510","T.520","T.530","T.540","T.550","T.560","T.570","T.580","T.590","T.600","T.610","T.620","T.630","T.640","T.650","T.660","T.670","T.680","T.690","T.700","T.710","T.720","T.730","T.740","T.750","T.760","T.770","T.780","T.790","T.800","T.810","T.820","T.830","T.840","T.850","T.860","T.870","T.880","T.890","T.900","T.910","T.920","T.930","T.940","T.950","T.960","T.970","T.980","T.990","T.1000","T.1010","T.1020","T.1030","T.1040","T.1050","T.1060","T.1070","T.1080"
2,"Red",1,"Un_0001 1/1",0.465071,0.347841,0.299101,0.295542,0.290771,0.286964,0.286058,0.283922,0.281957,0.283779,0.28077,0.281944,0.279005,0.276894,0.275606,0.275984,0.27496,0.273963,0.27443,0.272424,0.272727,0.273428,0.271311,0.270933,0.272427,0.270712,0.270423,0.271731,0.270118,0.270295,0.271071,0.269622,0.269787,0.271169,0.269935,0.269685,0.270984,0.26926,0.269984,0.270917,0.270382,0.269842,0.271016,0.270137,0.269948,0.271285,0.270105,0.269779,0.271345,0.270194,0.270266,0.27132,0.270068,0.270516,0.271489,0.270277,0.270486,0.272139,0.270237,0.270757,0.272151,0.271071,0.271865,0.272652,0.271093,0.270843,0.272691,0.27134,0.271713,0.272968,0.271218,0.272014,0.272794,0.272163,0.271899,0.273398,0.27238,0.272181,0.27391,0.272658,0.272945,0.274272,0.272686,0.273078,0.274592,0.272818,0.272476,0.274517,0.273667,0.27308,0.274696,0.273562,0.273823,0.274735,0.273981,0.273835,0.275171,0.273495,0.273752,0.275188,0.273989,0.274565,0.275551,0.274339,0.274464,0.275333,0.273796,0.273806,0.276006
1,"Red",1,"Un_0002 1/1",0.320854,0.26725,0.233894,0.229844,0.225838,0.219993,0.217286,0.214701,0.212945,0.213346,0.212257,0.211348,0.212203,0.2111,0.210444,0.21134,0.210617,0.210079,0.211017,0.210161,0.209902,0.211547,0.210019,0.210775,0.211391,0.211086,0.210723,0.211612,0.210717,0.211144,0.211971,0.211314,0.211732,0.213136,0.212305,0.212211,0.213518,0.212341,0.212686,0.213383,0.213109,0.213141,0.21361,0.213271,0.213522,0.214229,0.2136,0.213755,0.215003,0.213655,0.21436,0.214643,0.214222,0.214335,0.215184,0.214438,0.214937,0.215922,0.215223,0.215696,0.216093,0.215485,0.215406,0.216576,0.216222,0.215525,0.217162,0.216117,0.216358,0.216976,0.21634,0.21617,0.216987,0.216222,0.216573,0.217504,0.216898,0.216867,0.218162,0.217063,0.217233,0.21801,0.217021,0.217298,0.218371,0.217299,0.217452,0.218172,0.217594,0.217281,0.218209,0.217429,0.217653,0.218361,0.217657,0.217765,0.218158,0.217588,0.217442,0.218606,0.217762,0.218002,0.218855,0.217884,0.218103,0.218613,0.217634,0.217437,0.218913
0.5,"Red",1,"Un_0003 1/1",0.259826,0.246969,0.240394,0.235936,0.236963,0.23677,0.234868,0.236601,0.236823,0.235042,0.236308,0.236915,0.23576,0.236876,0.237258,0.235037,0.237272,0.238258,0.236316,0.238273,0.238211,0.236278,0.238841,0.239392,0.237982,0.239432,0.240083,0.237624,0.240108,0.239827,0.238569,0.240465,0.24056,0.238032,0.240711,0.240945,0.239107,0.241913,0.241677,0.240165,0.242331,0.242051,0.241255,0.242078,0.242202,0.240691,0.242618,0.242928,0.241205,0.243356,0.24386,0.241685,0.24329,0.243421,0.241822,0.243849,0.243579,0.242146,0.24442,0.244073,0.241513,0.243675,0.244212,0.241662,0.243885,0.244969,0.240367,0.244354,0.244098,0.241863,0.245012,0.244902,0.242984,0.244424,0.244516,0.243161,0.244916,0.244927,0.241494,0.244595,0.244857,0.2425,0.24511,0.245042,0.243162,0.245269,0.245896,0.242508,0.244785,0.245178,0.242444,0.245176,0.245351,0.243601,0.245167,0.245548,0.242964,0.245791,0.245718,0.243936,0.245764,0.245305,0.244212,0.246091,0.246195,0.243635,0.245634,0.24571,0.243927
0.25,"Red",1,"Un_0004 1/1",0.171876,0.166603,0.164506,0.163182,0.161376,0.160978,0.16038,0.158452,0.1585,0.159256,0.158605,0.159639,0.161431,0.161842,0.162153,0.163323,0.163176,0.162626,0.162925,0.162628,0.1616,0.159896,0.158166,0.156556,0.156867,0.156035,0.155445,0.156517,0.155895,0.155069,0.156071,0.156932,0.156982,0.158594,0.157656,0.15681,0.155999,0.154562,0.15333,0.153832,0.153157,0.154174,0.155675,0.155288,0.15479,0.1568,0.155131,0.154881,0.155659,0.153727,0.154003,0.154939,0.15327,0.152636,0.153997,0.152572,0.151866,0.153426,0.151581,0.15147,0.153037,0.152035,0.15216,0.153841,0.152799,0.152161,0.155141,0.152646,0.152833,0.154155,0.151348,0.151923,0.15323,0.151678,0.149583,0.150399,0.148519,0.147338,0.149065,0.148346,0.150415,0.153184,0.152951,0.153777,0.154359,0.152334,0.152246,0.154711,0.153275,0.153267,0.154813,0.154016,0.153978,0.155122,0.153021,0.152486,0.153613,0.151931,0.152183,0.153743,0.151898,0.152194,0.153824,0.15298,0.152453,0.154405,0.152404,0.152181,0.153858
0.125,"Red",1,"Un_0005 1/1",0.16592,0.144606,0.142041,0.13992,0.140297,0.139268,0.13734,0.138681,0.138412,0.137141,0.136851,0.137269,0.135896,0.136817,0.136264,0.135199,0.135519,0.135523,0.134763,0.13485,0.134793,0.134279,0.135339,0.134785,0.134185,0.135149,0.135271,0.133793,0.135157,0.134211,0.133818,0.134508,0.134074,0.133515,0.134234,0.134032,0.133463,0.134365,0.134812,0.133859,0.134631,0.134439,0.133848,0.134257,0.134043,0.133703,0.134083,0.133915,0.133602,0.134229,0.134213,0.133733,0.134172,0.134107,0.133638,0.134371,0.134108,0.133912,0.134542,0.134114,0.133201,0.134015,0.133924,0.133255,0.13406,0.134139,0.132734,0.133775,0.133385,0.133341,0.133908,0.133568,0.132618,0.133477,0.133604,0.132922,0.133699,0.133622,0.132561,0.133429,0.133437,0.132686,0.133632,0.133028,0.133177,0.133703,0.133868,0.132163,0.132976,0.133339,0.132433,0.133214,0.133008,0.132543,0.13312,0.133088,0.132541,0.133461,0.13313,0.132344,0.133075,0.133125,0.132627,0.133143,0.133347,0.131866,0.132595,0.132258,0.132199
0.0625,"Red",1,"Un_0006 1/1",0.137633,0.112727,0.111694,0.110428,0.109898,0.109844,0.109641,0.109178,0.108878,0.109258,0.109122,0.108971,0.109346,0.109077,0.109122,0.109352,0.108924,0.108619,0.108524,0.108524,0.109002,0.109006,0.109152,0.10887,0.109348,0.109428,0.109228,0.109545,0.109165,0.109404,0.109817,0.109584,0.109881,0.11057,0.110057,0.110353,0.110944,0.110657,0.110734,0.11119,0.111277,0.111343,0.11155,0.111564,0.111746,0.112167,0.112078,0.112281,0.113031,0.112918,0.112996,0.113245,0.113366,0.113035,0.113815,0.113714,0.113958,0.114994,0.114624,0.114494,0.114855,0.114862,0.114807,0.11567,0.115252,0.115702,0.116043,0.115788,0.116124,0.116965,0.116666,0.116693,0.117014,0.116844,0.116838,0.117909,0.117719,0.117739,0.118694,0.118461,0.118518,0.11899,0.118879,0.119361,0.120177,0.11968,0.120013,0.120401,0.120129,0.120508,0.120986,0.12052,0.120608,0.121343,0.12125,0.121742,0.122165,0.12186,0.122012,0.122744,0.122483,0.122956,0.123617,0.12312,0.123625,0.123616,0.123341,0.123743,0.124563
0.03125,"Red",1,"Un_0007 1/1",0.146554,0.116881,0.11584,0.116266,0.115339,0.11456,0.11626,0.115277,0.114673,0.116289,0.115152,0.114657,0.116007,0.114849,0.114559,0.116102,0.114613,0.114571,0.115781,0.114766,0.11485,0.11639,0.115027,0.115308,0.117288,0.11682,0.116937,0.119471,0.119147,0.12046,0.123649,0.124407,0.1269,0.130962,0.13325,0.137027,0.143522,0.14659,0.152392,0.160118,0.165644,0.172615,0.181103,0.186994,0.192879,0.201509,0.204844,0.211733,0.21991,0.225049,0.232515,0.241659,0.247771,0.255163,0.263351,0.26834,0.274922,0.284106,0.288253,0.295023,0.303145,0.307411,0.313686,0.322417,0.326657,0.332614,0.342074,0.345015,0.350815,0.359181,0.361589,0.367465,0.375003,0.377831,0.382582,0.389006,0.390628,0.393691,0.399326,0.399039,0.40154,0.406083,0.404598,0.40655,0.410125,0.408648,0.408998,0.413168,0.410951,0.411149,0.413656,0.411436,0.411498,0.414029,0.412958,0.413243,0.415325,0.412708,0.412854,0.41562,0.413102,0.413889,0.416198,0.413623,0.413677,0.415861,0.413364,0.413184,0.416245
0,"Red",1,"Un_0008 1/1",0.116623,0.0874131,0.0859687,0.0864381,0.0849818,0.0847395,0.085076,0.0841529,0.0835207,0.0846402,0.0839199,0.0838323,0.0844911,0.0836056,0.0834984,0.0843276,0.083629,0.083618,0.084085,0.083698,0.0841724,0.0852389,0.0849525,0.086019,0.0882242,0.0893649,0.0912564,0.0953754,0.0978773,0.102997,0.108774,0.113906,0.120853,0.130709,0.140716,0.147852,0.158532,0.167584,0.178297,0.191839,0.20283,0.216425,0.228148,0.237762,0.246763,0.257941,0.26773,0.279616,0.290629,0.298484,0.307691,0.32382,0.333915,0.345014,0.356434,0.3676,0.384667,0.396352,0.408147,0.419673,0.427064,0.434582,0.439832,0.446971,0.450205,0.456359,0.460138,0.464666,0.466965,0.47002,0.472876,0.474236,0.47624,0.477962,0.479498,0.479538,0.480518,0.482171,0.482486,0.48345,0.483476,0.483879,0.484777,0.485601,0.485569,0.48668,0.486987,0.485822,0.487114,0.486849,0.487035,0.487573,0.487998,0.488074,0.488405,0.487964,0.488138,0.489253,0.489147,0.488786,0.489568,0.489797,0.489814,0.490913,0.49003,0.489593,0.490451,0.490805,0.490654
2,"Red",2,"Un_0009 1/1",0.39993,0.262697,0.23547,0.228407,0.224752,0.221673,0.217986,0.217291,0.215298,0.214224,0.213569,0.213479,0.211687,0.212866,0.212074,0.211812,0.210917,0.210822,0.210474,0.210274,0.210213,0.209687,0.210238,0.210646,0.210428,0.211119,0.211347,0.210325,0.210826,0.210848,0.210961,0.211414,0.211554,0.211252,0.211554,0.211708,0.211587,0.212537,0.212082,0.211794,0.212607,0.2127,0.212294,0.213202,0.213075,0.213134,0.213351,0.213927,0.213615,0.214322,0.214006,0.213704,0.214503,0.214286,0.214001,0.214846,0.214898,0.214797,0.215674,0.215666,0.214976,0.215456,0.215493,0.215692,0.216021,0.216488,0.215988,0.2163,0.216274,0.216259,0.217029,0.216752,0.216652,0.217147,0.217471,0.217071,0.217587,0.217681,0.217679,0.217907,0.218416,0.217952,0.218398,0.218322,0.218509,0.219024,0.219086,0.218352,0.218866,0.219111,0.218932,0.219154,0.219616,0.2197,0.219563,0.220152,0.219449,0.220462,0.220156,0.21984,0.220515,0.220991,0.220383,0.221017,0.221108,0.220792,0.220858,0.220936,0.220965
1,"Red",2,"Un_0010 1/1",0.349693,0.290746,0.270609,0.249994,0.241334,0.234729,0.230547,0.231464,0.229974,0.229964,0.229434,0.229663,0.228649,0.228758,0.228505,0.228352,0.228465,0.228458,0.228287,0.228679,0.228827,0.228693,0.229378,0.229514,0.229226,0.229826,0.230005,0.229942,0.230246,0.230371,0.230326,0.230428,0.230953,0.230635,0.23113,0.231509,0.231389,0.232122,0.231996,0.231926,0.232499,0.232431,0.232358,0.232519,0.233403,0.233142,0.23345,0.233792,0.233888,0.234245,0.23437,0.233757,0.234462,0.234605,0.234553,0.234976,0.235293,0.235326,0.235737,0.235988,0.235005,0.235815,0.235797,0.235868,0.236033,0.236431,0.236076,0.236363,0.236616,0.236376,0.236988,0.236873,0.236617,0.236822,0.237286,0.237273,0.238088,0.237811,0.237783,0.237887,0.238356,0.238063,0.238706,0.238696,0.23866,0.239005,0.239232,0.238588,0.239134,0.239193,0.238758,0.239154,0.239349,0.239523,0.239553,0.239866,0.239566,0.240328,0.239912,0.239799,0.240083,0.24012,0.239915,0.240426,0.240603,0.239959,0.240145,0.239946,0.23997
